word,level
enhance,B2
enjoy,A1
ensure,B2
enter,A2
entertain,B1
equal,B1
escape,B1
establish,B2
estimate,B2
evaluate,B2
examine,B1
exchange,B1
excuse,B2
exercise,A1
exist,A2
expand,B1
expect,A2
experience,B1
experiment,B1
explain,A1
explode,B1
explore,B1
export,B1
expose,B2
express,A2
extend,B2
face,B1
fail,A2
fall,A1
fancy,B1
farm,A2
fasten,B1
favour,B2
fear,B1
feature,B1
feed,A2
feel,A1
fight,A2
figure,B2
file,B2
fill,A1
film,A2
finance,B2
find,A1
finish,A1
fire,B1
fish,A2
fit,A2
fix,A2
flash,B2
float,B2
flood,B1
flow,B1
fly,A1
focus,A2
fold,B1
follow,A1
force,B1
forget,A1
forgive,B2
form,A1
found,B2
frame,B1
free,B2
freeze,B1
frighten,B1
fry,B1
fuel,B2
function,B2
fund,B2
gain,B2
gather,B1
generate,B2
get,A1
give,A1
go,A1
govern,B2
grab,B2
grade,B2
graduate,B1
grant,B2
greet,A2
grow,A1
guarantee,B2
guard,B1
guess,A1
guide,A2
hand,B1
handle,B2
hang,B1
happen,A1
harm,B2
hate,A1
have,A1
head,B1
hear,A1
heat,A2
help,A1
hesitate,B2
hide,A2
highlight,B1
hire,B1
hit,A2
hold,A2
honour,B2
hope,A1
host,B2
house,B2
hunt,B1
hurry,B1
hurt,A2
identify,A2
ignore,B1
illustrate,B2
imagine,A1
impact,B1
imply,B2
import,B1
impose,B2
impress,B2
improve,A1
include,A1
increase,A2
indicate,B1
influence,B1
inform,B2
injure,B1
insist,B2
inspire,B2
install,B2
intend,B1
interest,A1
interpret,B2
interrupt,B2
interview,A1
introduce,A1
invent,A2
invest,B1
investigate,B1
invite,A2
involve,A2
iron,B1
issue,B2
join,A1
joke,A2
judge,B1
jump,A2
justify,B2
keep,A1
key,B1
kick,B1
kill,A2
kiss,B1
knock,A2
know,A1
label,B1
lack,B1
land,A2
last,A2
laugh,A1
launch,B2
lay,B1
lead,A2
lean,B2
learn,A1
leave,A1
lecture,A2
lend,A2
let,A1
level,B2
lie,A1
lie,B1
lift,A2
light,A2
like,A1
limit,B1
line,B2
link,A2
list,A1
listen,A1
live,A1
load,B2
locate,B1
lock,A2
look,A1
lose,A1
love,A1
lower,B2
mail,A2
maintain,B2
make,A1
manage,A2
map,B2
mark,A2
market,B1
marry,A2
master,B2
match,A1
matter,A2
mean,A1
measure,B1
meet,A1
melt,B2
mention,A2
mind,A2
miss,A1
mistake,B2
mix,B1
model,B2
modify,B2
monitor,B2
mount,B2
move,A1
multiply,B2
murder,B1
name,A1
narrow,B2
need,A1
note,B1
notice,A2
number,A2
obey,B2
object,B2
observe,B2
obtain,B2
occur,B1
offend,B2
offer,A2
open,A1
operate,B2
oppose,B2
order,A1
organize,A2
outline,B2
owe,B2
own,A2
pace,B2
pack,A2
package,B2
paint,A1
park,A1
participate,B1
pass,A2
pay,A1
perform,A2
permit,B2
persuade,B1
phone,A1
photograph,A2
pick,A2
picture,B2
pile,B2
pin,B1
place,B1
plan,A1
plant,A2
play,A1
please,A2
plot,B2
point,B1
poison,B1
pose,B2
position,B2
possess,B2
post,A1
pour,B1
power,B2
practise,A1
praise,B2
pray,B1
predict,A2
prefer,A1
prepare,A1
present,A2
preserve,B2
press,B1
pretend,B1
prevent,A2
price,B2
print,A2
process,B2
produce,A2
program,B1
progress,B2
project,B2
promise,A2
promote,B1
pronounce,A2
propose,B2
protect,A2
protest,B1
prove,B1
provide,A2
publish,A2
pull,A2
punish,B1
purchase,B2
pursue,B2
push,A2
put,A1
qualify,B1
question,A2
queue,B1
quit,B1
quote,B1
race,A2
rain,A1
raise,A2
range,B2
rank,B2
rate,B2
reach,A2
react,A2
read,A1
realize,A2
recall,B2
receive,A2
recognize,A2
recommend,A2
record,A2
recover,B2
recycle,A2
reduce,A2
refer,A2
reflect,B1
refuse,A2
regard,B2
register,B2
regret,B2
reject,B1
relate,B1
relax,A1
release,B1
rely,B2
remain,B1
remark,B2
remember,A1
remind,B1
remove,A2
rent,B1
repair,A2
repeat,A1
replace,A2
reply,A2
report,A2
represent,B1
request,B1
require,B1
rescue,B2
research,A2
reserve,B2
resist,B2
resolve,B2
respect,B1
respond,A2
rest,A2
result,B1
retain,B2
retire,B1
return,A1
reveal,B2
review,A2
revise,B1
reward,B2
rid,B2
ride,A1
ring,A2
rise,A2
risk,B1
roll,B1
rub,B2
rule,B1
run,A1
rush,B2
sail,A2
sample,B2
satisfy,B2
save,A2
say,A1
scan,B1
schedule,B2
score,A2
scream,B2
screen,B2
search,A2
seat,B2
secure,B2
see,A1
seek,B2
select,B2
sell,A1
send,A1
sense,B2
sentence,B2
separate,B1
serve,A2
set,B1
settle,B2
shake,A2
shape,B2
share,A1
shelter,B2
shift,B2
shine,B1
ship,B2
shock,B2
shoot,B1
shop,A1
shout,A2
show,A1
shut,A2
sign,A2
signal,B1
sing,A1
sink,B1
sit,A1
ski,A2
sleep,A1
slice,B1
slide,B2
slip,B2
slope,B2
slow,B1
smell,A2
smile,A2
smoke,A2
snow,A1
solve,A2
sort,B1
sound,A1
speak,A1
speed,B2
spell,A1
spend,A1
split,B2
sponsor,B2
spot,B2
spread,B1
spring,B2
stage,B2
stand,A1
star,A2
stare,B2
start,A1
state,B1
stay,A1
steal,A2
step,B2
stick,B1
stop,A1
store,B1
stress,A2
stretch,B2
strike,B2
structure,B2
struggle,B2
study,A1
stuff,B2
submit,B2
succeed,A2
suffer,B1
suggest,A2
suit,B1
sum,B2
summarize,B1
supply,B1
support,A2
suppose,A2
surprise,A2
surround,B2
survey,B2
survive,B1
suspect,B2
swear,B2
sweep,B2
swim,A1
switch,B1
take,A1
talk,A1
target,B2
taste,A2
tax,B1
teach,A1
tear,B2
telephone,A1
tell,A1
tend,B1
term,B2
test,A1
text,A2
thank,A1
think,A1
threaten,B2
throw,A2
tidy,A2
tie,A2
time,B2
tip,B1
title,B2
touch,A2
tour,B1
track,B2
trade,B1
train,A2
transfer,B2
transform,B2
translate,B1
transport,B1
travel,A1
treat,B1
trick,B1
trip,B2
trouble,B2
trust,B2
try,A1
turn,A1
type,B1
understand,A1
update,B1
upset,B1
urge,B2
use,A1
value,B2
vary,B2
view,B1
visit,A1
volunteer,B1
vote,B1
wait,A1
wake,A1
walk,A1
want,A1
warm,B1
warn,B1
wash,A1
waste,B1
watch,A1
water,B1
wave,B1
wear,A1
weigh,B1
welcome,A1
whisper,B2
win,A1
wind,B2
wish,A2
witness,B2
wonder,B1
work,A1
worry,A2
wound,B2
wrap,B2
write,A1
icecream,A1
action,A1
activity,A1
actor,A1
actress,A1
address,A1
adult,A1
advice,A1
afternoon,A1
age,A1
air,A1
airport,A1
animal,A1
answer,A1
apartment,A1
apple,A1
April,A1
area,A1
arm,A1
art,A1
article,A1
artist,A1
August,A1
aunt,A1
autumn,A1
baby,A1
back,A1
bag,A1
ball,A1
banana,A1
band,A1
bank,A1
bath,A1
bathroom,A1
beach,A1
bed,A1
bedroom,A1
beer,A1
beginning,A1
bicycle,A1
bike,A1
bill,A1
bird,A1
birthday,A1
black,A1
blog,A1
blue,A1
boat,A1
body,A1
book,A1
boot,A1
bottle,A1
box,A1
boy,A1
boyfriend,A1
bread,A1
break,A1
breakfast,A1
brother,A1
brown,A1
building,A1
bus,A1
business,A1
butter,A1
cafe,A1
cake,A1
call,A1
camera,A1
capital,A1
car,A1
card,A1
career,A1
carrot,A1
cat,A1
CD,A1
cent,A1
centre,A1
century,A1
chair,A1
change,A1
chart,A1
cheese,A1
chicken,A1
child,A1
chocolate,A1
cinema,A1
city,A1
class,A1
classroom,A1
clock,A1
clothes,A1
club,A1
coat,A1
coffee,A1
cold,A1
college,A1
colour,A1
company,A1
computer,A1
concert,A1
conversation,A1
cooking,A1
cost,A1
country,A1
course,A1
cousin,A1
cow,A1
cream,A1
culture,A1
cup,A1
customer,A1
dad,A1
dance,A1
dancer,A1
dancing,A1
date,A1
daughter,A1
day,A1
December,A1
description,A1
design,A1
desk,A1
detail,A1
dialogue,A1
dictionary,A1
diet,A1
difference,A1
dinner,A1
dish,A1
doctor,A1
dog,A1
dollar,A1
door,A1
dress,A1
drink,A1
driver,A1
DVD,A1
ear,A1
east,A1
egg,A1
elephant,A1
email,A1
end,A1
euro,A1
evening,A1
event,A1
exam,A1
example,A1
exercise,A1
eye,A1
face,A1
fact,A1
family,A1
farm,A1
farmer,A1
father,A1
favourite,A1
February,A1
feeling,A1
festival,A1
film,A1
fire,A1
fish,A1
flat,A1
flight,A1
floor,A1
flower,A1
food,A1
foot,A1
football,A1
form,A1
Friday,A1
friend,A1
front,A1
fruit,A1
fun,A1
future,A1
game,A1
garden,A1
geography,A1
girl,A1
girlfriend,A1
glass,A1
goodbye,A1
grandfather,A1
grandmother,A1
grandparent,A1
green,A1
grey,A1
group,A1
guess,A1
guitar,A1
gym,A1
hair,A1
half,A1
hand,A1
hat,A1
head,A1
health,A1
hello,A1
help,A1
history,A1
hobby,A1
holiday,A1
home,A1
homework,A1
horse,A1
hospital,A1
hotel,A1
hour,A1
house,A1
husband,A1
ice,A1
idea,A1
information,A1
interest,A1
internet,A1
interview,A1
island,A1
jacket,A1
January,A1
jeans,A1
job,A1
journey,A1
juice,A1
July,A1
June,A1
key,A1
kilometre,A1
kind,A1
kitchen,A1
land,A1
language,A1
laugh,A1
left,A1
leg,A1
lesson,A1
letter,A1
library,A1
life,A1
light,A1
line,A1
lion,A1
list,A1
love,A1
lunch,A1
machine,A1
magazine,A1
man,A1
map,A1
March,A1
market,A1
match,A1
May,A1
meal,A1
meaning,A1
meat,A1
meeting,A1
member,A1
menu,A1
message,A1
metre,A1
midnight,A1
mile,A1
milk,A1
minute,A1
mistake,A1
model,A1
moment,A1
Monday,A1
money,A1
month,A1
morning,A1
mother,A1
mountain,A1
mouse,A1
mouth,A1
movie,A1
mum,A1
museum,A1
music,A1
name,A1
neighbour,A1
news,A1
newspaper,A1
night,A1
north,A1
nose,A1
note,A1
November,A1
number,A1
nurse,A1
object,A1
October,A1
office,A1
onion,A1
opinion,A1
opposite,A1
orange,A1
order,A1
page,A1
paint,A1
painting,A1
pair,A1
paper,A1
paragraph,A1
parent,A1
park,A1
part,A1
partner,A1
party,A1
passport,A1
past,A1
pen,A1
pencil,A1
people,A1
pepper,A1
period,A1
person,A1
phone,A1
photo,A1
photograph,A1
phrase,A1
piano,A1
picture,A1
piece,A1
pig,A1
pink,A1
place,A1
plan,A1
plane,A1
plant,A1
play,A1
player,A1
point,A1
police,A1
policeman,A1
pool,A1
post,A1
potato,A1
pound,A1
practice,A1
present,A1
price,A1
problem,A1
product,A1
programme,A1
project,A1
purple,A1
quarter,A1
question,A1
radio,A1
rain,A1
reader,A1
reading,A1
reason,A1
red,A1
report,A1
restaurant,A1
result,A1
return,A1
rice,A1
right,A1
river,A1
road,A1
room,A1
routine,A1
rule,A1
salad,A1
salt,A1
sandwich,A1
Saturday,A1
school,A1
science,A1
scientist,A1
sea,A1
second,A1
section,A1
sentence,A1
September,A1
sheep,A1
shirt,A1
shoe,A1
shop,A1
shopping,A1
show,A1
shower,A1
singer,A1
sister,A1
situation,A1
skill,A1
skirt,A1
snake,A1
snow,A1
son,A1
song,A1
sound,A1
soup,A1
south,A1
space,A1
spelling,A1
sport,A1
spring,A1
star,A1
statement,A1
station,A1
stop,A1
story,A1
street,A1
student,A1
study,A1
style,A1
subject,A1
success,A1
sugar,A1
summer,A1
sun,A1
Sunday,A1
supermarket,A1
sweater,A1
swimming,A1
T-shirt,A1
table,A1
taxi,A1
tea,A1
teacher,A1
team,A1
teenager,A1
telephone,A1
television,A1
tennis,A1
test,A1
text,A1
thanks,A1
theatre,A1
thing,A1
Thursday,A1
ticket,A1
time,A1
title,A1
today,A1
toilet,A1
tomato,A1
tomorrow,A1
tonight,A1
tooth,A1
topic,A1
tourist,A1
town,A1
traffic,A1
train,A1
travel,A1
tree,A1
trip,A1
trousers,A1
Tuesday,A1
turn,A1
TV,A1
type,A1
umbrella,A1
uncle,A1
university,A1
vacation,A1
vegetable,A1
video,A1
village,A1
visit,A1
visitor,A1
waiter,A1
walk,A1
wall,A1
watch,A1
water,A1
way,A1
weather,A1
website,A1
Wednesday,A1
week,A1
weekend,A1
west,A1
white,A1
wife,A1
window,A1
wine,A1
winter,A1
woman,A1
word,A1
work,A1
worker,A1
world,A1
writer,A1
writing,A1
year,A1
yellow,A1
