word,level
marketing,B1
marriage,B1
measure,B1
mention,B1
mess,B1
mine,B1
mix,B1
mixture,B1
mood,B1
move,B1
mud,B1
murder,B1
muscle,B1
musical,B1
mystery,B1
nail,B1
narrative,B1
nation,B1
native,B1
needle,B1
neighbourhood,B1
net,B1
next,B1
normal,B1
occasion,B1
operation,B1
organizer,B1
original,B1
pack,B1
package,B1
pan,B1
pass,B1
passion,B1
path,B1
payment,B1
percentage,B1
performance,B1
photographer,B1
photography,B1
pin,B1
pipe,B1
planning,B1
pleasure,B1
plot,B1
poem,B1
poet,B1
poetry,B1
poison,B1
policy,B1
politician,B1
politics,B1
port,B1
portrait,B1
pot,B1
poverty,B1
powder,B1
prayer,B1
prediction,B1
presentation,B1
press,B1
pressure,B1
priest,B1
prince,B1
princess,B1
printing,B1
prisoner,B1
producer,B1
production,B1
profession,B1
profit,B1
property,B1
protest,B1
pull,B1
punishment,B1
push,B1
qualification,B1
queue,B1
quotation,B1
quote,B1
racing,B1
range,B1
reaction,B1
reality,B1
receipt,B1
recommendation,B1
reference,B1
relation,B1
relative,B1
release,B1
religion,B1
rent,B1
repair,B1
repeat,B1
reservation,B1
resource,B1
respect,B1
responsibility,B1
rise,B1
risk,B1
robot,B1
roll,B1
rope,B1
row,B1
rugby,B1
safety,B1
sail,B1
sailor,B1
sample,B1
sand,B1
script,B1
sculpture,B1
security,B1
seed,B1
servant,B1
set,B1
setting,B1
sex,B1
shake,B1
share,B1
shelf,B1
shell,B1
shift,B1
sight,B1
signal,B1
similarity,B1
slice,B1
software,B1
soil,B1
solid,B1
spending,B1
spirit,B1
spot,B1
stadium,B1
staff,B1
standard,B1
statistic,B1
statue,B1
stick,B1
stranger,B1
strength,B1
string,B1
studio,B1
stuff,B1
substance,B1
summary,B1
supply,B1
supporter,B1
surface,B1
swim,B1
symptom,B1
tail,B1
talent,B1
tape,B1
tax,B1
technique,B1
tent,B1
theme,B1
theory,B1
throat,B1
tin,B1
toe,B1
tongue,B1
total,B1
touch,B1
trade,B1
translation,B1
treatment,B1
trend,B1
trick,B1
truth,B1
tube,B1
tyre,B1
underwear,B1
unemployment,B1
union,B1
update,B1
value,B1
version,B1
victim,B1
viewer,B1
volunteer,B1
vote,B1
warning,B1
waste,B1
weapon,B1
while,B1
whole,B1
will,B1
win,B1
wing,B1
wonder,B1
wool,B1
worry,B1
yard,B1
young,B1
youth,B1
academic,B2
administration,B2
advance,B2
affair,B2
agency,B2
agenda,B2
aid,B2
aircraft,B2
anger,B2
angle,B2
anniversary,B2
appeal,B2
approach,B2
approval,B2
arms,B2
aspect,B2
assessment,B2
association,B2
attempt,B2
bacteria,B2
barrier,B2
beat,B2
being,B2
bet,B2
blame,B2
bond,B2
breast,B2
broadcast,B2
budget,B2
bullet,B2
bunch,B2
burn,B2
bush,B2
cable,B2
cancer,B2
capacity,B2
capture,B2
cast,B2
catch,B2
cell,B2
chairman,B2
characteristic,B2
chief,B2
circumstance,B2
citizen,B2
classic,B2
close,B2
collapse,B2
combination,B2
comfort,B2
command,B2
commission,B2
commitment,B2
committee,B2
complex,B2
component,B2
concentration,B2
concept,B2
concern,B2
conduct,B2
confidence,B2
conflict,B2
conservative,B2
consideration,B2
construction,B2
contest,B2
contract,B2
contribution,B2
core,B2
council,B2
county,B2
courage,B2
crash,B2
creation,B2
creature,B2
crew,B2
crisis,B2
criterion,B2
critic,B2
criticism,B2
crop,B2
cry,B2
cure,B2
current,B2
curve,B2
debate,B2
debt,B2
decline,B2
decoration,B2
decrease,B2
defeat,B2
defence,B2
delay,B2
delight,B2
delivery,B2
demand,B2
depth,B2
desire,B2
disc,B2
discipline,B2
disk,B2
display,B2
distribution,B2
district,B2
divide,B2
division,B2
dozen,B2
draft,B2
edition,B2
emphasis,B2
encounter,B2
enquiry,B2
enthusiasm,B2
equal,B2
estate,B2
estimate,B2
evil,B2
examination,B2
excuse,B2
executive,B2
existence,B2
expectation,B2
expense,B2
exploration,B2
extent,B2
extreme,B2
facility,B2
failure,B2
faith,B2
fault,B2
feather,B2
fee,B2
feed,B2
feedback,B2
feel,B2
finance,B2
finding,B2
firm,B2
fix,B2
flame,B2
flash,B2
fold,B2
fortune,B2
freedom,B2
frequency,B2
fund,B2
funding,B2
gain,B2
gang,B2
genre,B2
grant,B2
guarantee,B2
handle,B2
harm,B2
hearing,B2
heaven,B2
heel,B2
hell,B2
high,B2
hire,B2
hold,B2
honour,B2
household,B2
housing,B2
humour,B2
hunt,B2
hunting,B2
hurt,B2
ideal,B2
illustration,B2
imagination,B2
inch,B2
incident,B2
income,B2
infection,B2
initiative,B2
inquiry,B2
insight,B2
instance,B2
institute,B2
institution,B2
insurance,B2
investigation,B2
investment,B2
joy,B2
judgement,B2
justice,B2
labour,B2
landscape,B2
latest,B2
launch,B2
leadership,B2
league,B2
leave,B2
licence,B2
load,B2
loan,B2
lord,B2
low,B2
lung,B2
majority,B2
make,B2
mass,B2
master,B2
maximum,B2
means,B2
measurement,B2
medium,B2
military,B2
mineral,B2
minimum,B2
minister,B2
minority,B2
mission,B2
monitor,B2
moral,B2
motor,B2
national,B2
negative,B2
nerve,B2
nightmare,B2
notion,B2
objective,B2
obligation,B2
observation,B2
offence,B2
official,B2
opening,B2
opponent,B2
opposition,B2
organ,B2
origin,B2
outcome,B2
outline,B2
pace,B2
panel,B2
parliament,B2
participant,B2
passage,B2
pension,B2
permit,B2
perspective,B2
phase,B2
phenomenon,B2
philosophy,B2
pick,B2
pile,B2
pitch,B2
plus,B2
popularity,B2
positive,B2
potential,B2
praise,B2
preparation,B2
presence,B2
principle,B2
print,B2
priority,B2
privacy,B2
procedure,B2
produce,B2
professional,B2
proof,B2
proposal,B2
prospect,B2
protection,B2
psychologist,B2
psychology,B2
publication,B2
pupil,B2
purchase,B2
rank,B2
reach,B2
reduction,B2
regard,B2
register,B2
regret,B2
regulation,B2
relief,B2
remark,B2
representative,B2
reputation,B2
requirement,B2
rescue,B2
reserve,B2
resident,B2
resort,B2
revolution,B2
reward,B2
rhythm,B2
root,B2
round,B2
rubber,B2
rush,B2
satellite,B2
saving,B2
scale,B2
scheme,B2
scream,B2
sector,B2
selection,B2
self,B2
sequence,B2
session,B2
shade,B2
shadow,B2
shame,B2
shelter,B2
shock,B2
shooting,B2
shot,B2
silence,B2
silk,B2
slave,B2
slide,B2
slope,B2
soul,B2
specialist,B2
species,B2
split,B2
sponsor,B2
spread,B2
stand,B2
status,B2
steel,B2
stock,B2
stream,B2
stretch,B2
strike,B2
struggle,B2
sum,B2
surgery,B2
suspect,B2
switch,B2
sympathy,B2
tale,B2
tank,B2
tear,B2
therapy,B2
threat,B2
tone,B2
transfer,B2
transition,B2
trial,B2
trust,B2
try,B2
tune,B2
tunnel,B2
universe,B2
venue,B2
victory,B2
violence,B2
vision,B2
vitamin,B2
volume,B2
wage,B2
weakness,B2
wealth,B2
whisper,B2
wildlife,B2
wire,B2
witness,B2
worse,B2
worst,B2
worth,B2
wound,B2
wrong,B2
zone,B2
